date,industry,co2_emissions,energy_consumption_kwh,waste_tonnes,safety_score,employee_satisfaction,compliance_score,violations,operational_spend,season_factor,energy_efficiency_trend
2020-01-01,manufacturing,187.46904621864817,1831.0387470449923,95.82711981310659,79.45759067939011,77.63601250691558,97.74898404415949,0,922070.025897859,1.003442671231167,1831.0387470449923
2020-01-02,manufacturing,194.95804885509563,1949.4012143474972,116.88554462819995,82.74226235689412,83.49516442681933,72.93846351820606,0,882500.7917308208,1.0068843223245492,1949.0448338695544
2020-01-03,manufacturing,178.00207865862868,1783.6538536365579,81.64416486548328,85.4361868542384,74.33740574267095,94.29553890053467,0,913639.554163393,1.0103239334446508,1783.0016950063434
2020-01-04,manufacturing,168.55732237119287,1750.723666910241,70.26220098352067,87.2199396147939,73.11713151820157,89.83629034212687,1,943760.3613357624,1.013760485360464,1749.7634893963964
2020-01-05,manufacturing,188.85033878102024,2066.45116056566,107.84301301272593,79.10678407490563,80.43360434991604,90.99230374663094,0,1109333.9955109346,1.0171929597474894,2064.9400445433084
2020-01-06,manufacturing,201.0360037031047,2007.1825941506706,94.97151828696448,89.01519779954879,78.30491514770837,90.53370083181015,0,970827.8306823064,1.020620339489487,2005.3478751432203
2020-01-07,manufacturing,186.77103918022962,1905.8592700134889,99.2976159788372,88.98563392034147,78.48376120685715,95.2704314412838,0,956285.621505729,1.0240416089798705,1903.7687479622857
2020-01-08,manufacturing,183.36020636704654,1759.2087324604795,90.66072050616135,87.60609127518678,69.97575974723782,84.20449002265573,0,1092394.6160106885,1.027455754422653,1756.9574598595245
2020-01-09,manufacturing,179.64933819618156,1718.9146866103492,97.55339981717755,88.62102541557105,78.0976096293399,86.87263434615474,0,1034878.6577230446,1.0308617641328561,1716.4007346006813
2020-01-10,manufacturing,164.66459112827755,1794.830399645451,81.55359612743776,89.68543278704045,72.04841279219517,95.84145942709826,0,832452.4008686141,1.0342586288362956,1791.8772966112995
2020-01-11,manufacturing,194.6938586263776,1914.6841422195025,95.65816529946208,91.63033879692965,63.816602996962345,93.84317537982686,0,1061354.8174645577,1.0376453419686489,1911.1838055792475
2020-01-12,manufacturing,188.07862490647378,1803.0452378583925,97.09699446881544,91.29497531115845,70.26595674624058,81.42197107603337,1,906414.878779829,1.0410208999737238,1799.4193699212
2020-01-13,manufacturing,216.14064000188978,2275.6015464303223,117.74235581343235,89.97090357097947,92.0034419506588,96.90252916844507,1,1065587.4600326205,1.044384302600833,2270.6093675350457
2020-01-14,manufacturing,175.83375367473826,1731.9991598595514,90.9942776807589,87.39545563590455,79.34773739971297,88.38032456912386,0,1060339.1724971698,1.04773455320119,1727.8828912895012
2020-01-15,manufacturing,167.27424557792452,1758.917938333181,74.8741872292652,83.44192607302935,68.01082256751837,92.37399217261334,0,901206.3676757322,1.0510706590232375,1754.41613739412
2020-01-16,manufacturing,203.7110667598938,2000.4739370374684,95.52767804019979,80.3327380305588,74.47396286318232,88.08570512172085,0,752392.998027408,1.0543916315068211,1994.988176698243
2020-01-17,manufacturing,190.82482363178732,1893.4717685498015,99.50843258556792,87.02725400017684,68.61519250281376,90.25404136968032,3,1068691.496862728,1.0576964865761218,1887.9332770878643
2020-01-18,manufacturing,156.8119118394649,1418.6307268151888,74.84439823802573,92.42138737245196,63.65360042493919,100.64603805348034,1,1129158.2831398312,1.0609842449312579,1414.2218196203335
2020-01-19,manufacturing,214.74450809550132,2311.8664429045616,108.80713231052002,84.98964117331478,74.71740455198304,87.01556017081248,1,1027468.9561744445,1.064253932338473,2304.25883852206
